PLCXD1,6283,10.865185
FBXO32,8465,10.844819
TRIM52,8009,10.822753
ERICH5,9271,10.803003
PASK,4749,10.801873
MITF,1672,10.780852
INA,3494,10.775382
ASTN2,4786,10.737594
TEPSIN,8912,10.73259
SV2C,4661,10.722194
ENTPD4,3709,10.712142
PMEPA1,6598,10.698985
IL7R,1365,10.686828
TAP1,2755,10.676662
ITGA11,4570,10.673517
PPTC7,9098,10.672239
NFIL3,1821,10.666108
OSGEPL1,7032,10.665542
TBC1D30,4831,10.661083
TDRD3,7639,10.658229
KCTD9,6007,10.654816
SPART,4717,10.649838
UBL3,2093,10.644601
BTN2A2,4120,10.639539
RABEP2,7438,10.639351
TMEM132E,8635,10.63667
ZNF362,8959,10.632293
POSTN,4258,10.629675
PRR16,5705,10.623744
SLC35A4,8415,10.616317
CRABP1,583,10.609766
MCF2L,4795,10.608937
AGPAT3,6576,10.603132
RELL2,9572,10.59635
HMBS,1249,10.585805
TMEM14C,5766,10.583521
TMEM255B,9685,10.580373
CTNNAL1,3333,10.575389
KDM7A,7621,10.549965
PCDH7,1948,10.545385
CYB5R4,5633,10.537624
STRBP,6281,10.521536
BLMH,279,10.51984
MADCAM1,3141,10.514161
ITPKC,7560,10.501379
ZNF365,4619,10.493533
VIPR2,2982,10.461252
BUD13,8002,10.446611
NUDT5,4489,10.440521
PAG1,6453,10.436241
COL7A1,553,10.435957
NFKBIA,1824,10.431348
ARMT1,7323,10.42622
SRPK1,2688,10.422222
SLC19A2,4215,10.409047
SPTB,2677,10.408349
OSBP2,5004,10.40579
SLC38A1,7636,10.386516
LEAP2,8532,10.374126
LIN9,9599,10.370795
ALX3,114,10.356729
ZNF502,8236,10.356259
DCPS,5375,10.333243
TADA2B,8349,10.325604
PRIM1,2158,10.324338
STPG1,8190,10.318562
DDX11,687,10.314899
ANKS1A,4811,10.305318
SIRT4,4873,10.303201
AIFM3,8973,10.297581
KBTBD2,5099,10.291464
SORT1,2494,10.288275
FASTKD1,7357,10.252577
MRNIP,5626,10.251844
TMEM223,7238,10.245206
MAP2K3,2194,10.240976
SLITRK3,4602,10.2383
BHLHE41,7290,10.234299
LRRC38,8669,10.230225
MX1,1733,10.204077
CCDC130,7657,10.201359
PECR,6454,10.200021
ATP2B3,215,10.197425
SLC25A17,4172,10.187542
TRAK2,7201,10.185925
CCDC186,6146,10.171295
KCNC1,1447,10.164536
CPLX2,4330,10.162465
MTAP,1719,10.158869
MRRF,8298,10.138789
SLCO4A1,5364,10.137689
CCL27,4341,10.126732
PPIEL,9981,10.122719
STARD10,4327,10.117749
GPR158,6759,10.116334
ACYP2,43,10.114176
PLEKHM2,4764,10.111756
RNF157,8447,10.110397
KNG1,1495,10.106832
NR2C1,2886,10.105311
FAM110A,7716,10.085211
C1RL,5677,10.081376
TRERF1,6444,10.067094
SLC9A5,2602,10.05261
ARHGEF18,4854,10.043072
PANK1,5860,10.039443
MAX,1618,10.025753
ARHGEF10L,6182,10.025454
ZNF398,6774,10.022259
SACS,5210,10.021433
REPIN1,5442,10.015384
METTL15,9196,10.010201
ABCC8,2725,10.006314
IMPA1,1377,10.005778
MAGEL2,5961,9.996012
UPF3A,7170,9.987754
SOHLH1,9856,9.979996
MICU3,9585,9.974546
CSDC2,5325,9.966326
COL5A1,549,9.949377
ZFYVE27,8563,9.945131
FAM49B,5781,9.937884
CEP192,6166,9.935206
RELT,8066,9.932917
PLEKHA6,4608,9.928113
DSCAML1,6727,9.926288
C17orf75,7027,9.915995
DSCC1,7244,9.903377
LRCH1,4731,9.901057
MRPS31,4057,9.897764
MAGI3,9456,9.894681
OSBPL2,3869,9.887734
NKX3-1,1838,9.886351
SNAP25,2635,9.88564
DGCR8,5932,9.885621
CCNO,4088,9.885318
CDH12,444,9.883233
KRBA1,7958,9.875994
TTC39C,8649,9.874531
METTL24,9982,9.863548
TSPAN9,4348,9.855738
GIT2,3832,9.84024
CCDC146,6827,9.83469
DDHD2,4793,9.827291
LRR1,8598,9.810338
PPP1R16B,5151,9.805301
PCNA,1953,9.797752
MTMR4,3490,9.797394
NEFH,1802,9.765671
GIGYF1,7082,9.762891
C3orf18,5629,9.756698
SLC39A14,4924,9.750213
NIPAL2,7414,9.749305
DENND4C,6369,9.744073
ST8SIA1,2570,9.736499
NFKB1,1823,9.7295
ZBTB34,9859,9.713931
FAM13B,5690,9.71262
MED11,9832,9.694497
TBC1D8,4471,9.693919
TBR1,4290,9.68681
MAST4,9730,9.68228
HAUS8,8336,9.681825
ABHD6,6716,9.679373
MTUS2,4804,9.675378
EHMT1,7412,9.664736
STK26,5846,9.648741
KRTCAP3,9232,9.636681
CNTLN,6042,9.631917
ATP13A3,7300,9.629225
RAPGEF6,5836,9.626584
ATP10A,6688,9.624979
DOK3,7464,9.610259
HES6,6305,9.609555
KLHL24,6010,9.605781
ARID5B,7831,9.601218
CEACAM19,6616,9.597969
EHD2,5514,9.594705
GTF2H2B,9966,9.59299
ISLR,1404,9.58084
GLIS1,8958,9.573135
TBC1D19,6257,9.572696
HSD11B1,1288,9.57103
MYC,1740,9.570496
RCL1,4018,9.56857
ABCG4,7025,9.568227
KLHL20,5323,9.554738
NOXO1,8623,9.55092
JAK2,1433,9.547635
ATP1B3,211,9.539826
EMB,8778,9.536802
SLC12A5,6735,9.534118
ARHGEF17,3839,9.528952
DTWD2,9571,9.521568
FMN1,9656,9.508375
CDKN1B,453,9.499562
PKD1,2048,9.499422
BCL3,264,9.498775
KCNA2,1442,9.493613
ARL3,181,9.479835
H1F0,1193,9.478009
UCHL5,5722,9.475146
RPL3,2416,9.474459
SLC17A6,6639,9.473345
NFIC,1820,9.46742
TMCC2,3883,9.465108
ITPK1,1425,9.460185
KCNT1,6799,9.456448
ITPR1,1428,9.455377
FAM43A,8758,9.447342
MRPL58,1324,9.440871
CHGA,486,9.426017
SEMA4C,6056,9.422575
LUZP1,3079,9.421804
TIAM2,5195,9.415934
STS,184,9.415005
ABCB10,4895,9.409052
TMEM81,9784,9.401106
LOC100294145,10022,9.387281
TAF1C,3449,9.385165
ARID3B,4250,9.382468
WDR19,6867,9.37874
NR3C1,1147,9.378687
TPRKB,5552,9.373694
EDNRA,778,9.366491
FAM78A,9593,9.365614
MRGPRF,8527,9.364938
ZNF333,7922,9.364879
NT5DC1,9340,9.357057
SLC15A4,8584,9.356573
JAKMIP3,9467,9.347018
CPSF1,5452,9.343712
LMO2,1555,9.341037
PCSK1,1958,9.337256
ELMOD3,7835,9.336837
ZBTB1,4618,9.334673
STAU2,5266,9.331008
SLC39A8,7018,9.329671
SMARCD2,2625,9.324142
MLLT10,3120,9.322316
SZT2,4834,9.302629
RRNAD1,5594,9.299166
EXOG,3900,9.276829
SETD6,7460,9.273256
GPLD1,1101,9.25808
BCO2,7773,9.252268
DNAJC28,6074,9.241993
CACNA2D2,3548,9.234915
SCX,9935,9.229582
TIAM1,2829,9.227807
ABLIM2,7921,9.226448
HNRNPH1,1268,9.214726
ATP4A,217,9.211169
KLHL21,3879,9.208671
ARC,4781,9.203054
ZBTB21,5517,9.193695
CLK3,524,9.176776
CHRD,3299,9.175289
CASP3,370,9.17378
SPAG5,4247,9.173316
PIAS2,3473,9.167129
SOCS5,3748,9.160126
SSH3,6085,9.158569
PLK5,8664,9.156599
PHC2,780,9.153694
PCP4,1957,9.148569
MSRB3,9393,9.141964
SF3B1,4893,9.141535
NAAA,5304,9.138121
FAM78B,8962,9.125964
VPS36,5566,9.120717
DACT2,9159,9.118315
TANC1,8125,9.115673
FLT3,956,9.113246
PRICKLE1,8879,9.111716
WDR90,9214,9.103093
MICA,10027,9.098068
ANKRD34C,9812,9.082085
WASHC4,4827,9.077638
TCHH,2822,9.067018
TTC39A,4664,9.065212
USF2,2963,9.053904
PCP4L1,9973,9.053363
INPP5A,1388,9.04528
SV2A,3877,9.041974
TDRD1,6523,9.038697
HDAC4,3804,9.030175
KCNK12,6558,9.011812
DPY19L2P2,9694,9.005234
CDKN2C,456,9.005036
TPCN1,5863,8.994444
ABCA5,4898,8.994355
DIRAS1,8945,8.994106
NFYC,1830,8.99046
CROCCP2,8001,8.989621
SLC26A6,7156,8.983472
USP16,4238,8.979765
KIZ,6470,8.968937
THSD4,7439,8.965312
MXI1,1735,8.962586
LINC00889,9082,8.960851
FGF18,3369,8.947579
PTPN2,2267,8.94321
FNDC5,9384,8.934008
CLIP4,7386,8.931462
IGFALS,1349,8.92582
STRADA,8293,8.923039
FGD5,9021,8.915252
ZNF670,8341,8.91173
COL13A1,561,8.908892
